text,name
 I mean you could,Pulak
 Whatâ€™s wrong with an iPhone,Pulak
 Get op6 agar itna problem hai,Pulak
 I mean... The iPhone model range rn sucks,Ishnoor Singh
 And the new models coming out next month aren't great either,Ishnoor Singh
 Dekh lo,Pulak
 You can try convincing for an op6,Pulak
 Itâ€™ll be easier considering aunty has one,Pulak
 It's over,Ishnoor Singh
 I got em back to no Apple,Ishnoor Singh
 Nice nice,Pulak
 Good job,Pulak
 Then it should be fairly straightforward,Pulak
 Yeah,Ishnoor Singh
 So blackberry with XPS 15,Ishnoor Singh
 Haan perfect,Pulak
 That was the one you wanted,Pulak
 Hahaha,Ishnoor Singh
 Yup,Ishnoor Singh
 Way too easy tho,Ishnoor Singh
 ðŸ˜‚ðŸ˜‚ðŸ˜‚,Ishnoor Singh
 Bwahahaha,Pulak
 How long did it even take you,Pulak
 Not long,Ishnoor Singh
 Lol how's college?,Ishnoor Singh
 Thought so,Pulak
 So far so good,Pulak
 Classes havenâ€™t started yet so letâ€™s see,Pulak
 Gosh.... You're scared,Ishnoor Singh
 Yep,Pulak
 That is accurate,Pulak
 Whyyyyyyyyyyyyy?,Ishnoor Singh
 I on the other hand can't wait,Ishnoor Singh
 Aise hi,Pulak
 Itâ€™s nervous excitement,Pulak
 Lol,Ishnoor Singh
 You don't understand fear then,Ishnoor Singh
 Lol,Pulak
 Arrey call it what you want,Pulak
 This is what it is,Pulak
 Hmmmmm ðŸ˜‚,Ishnoor Singh
 Starts tomorrow for you?,Ishnoor Singh
 Yep yep,Pulak
 First day tomo,Pulak
 You'll be awesome mate,Ishnoor Singh
 They selected your to be awesome here,Ishnoor Singh
 And they know their shizz they selected me too naðŸ˜‚,Ishnoor Singh
 Kidding aside,Ishnoor Singh
 You'll do great ... As much of a dumb shit as you are my greatness would've rubbed on to you ... That should be more than enoughðŸ˜‚,Ishnoor Singh
 I know I am duhh,Pulak
 ðŸ˜‚ðŸ˜‚ðŸ˜‚,Pulak
 You stole my line,Pulak
 ðŸ˜‚ðŸ˜‚ðŸ˜‚,Pulak
 I did my work,Ishnoor Singh
 Now I am home,Ishnoor Singh
 Note I sleep,Ishnoor Singh
 What,Pulak
 *now,Ishnoor Singh
 *hint*look up India time,Ishnoor Singh
 I know you sleep,Pulak
 I can concert,Pulak
 Convert,Pulak
 12,Pulak
 But do you ever sleep before 1ðŸ˜‚,Pulak
 It's a long story,Ishnoor Singh
 Cut across the states,Ishnoor Singh
 I have time,Pulak
" How and why??? Are you that bad at ""college-ing""",Ishnoor Singh
 ðŸ˜‚,Ishnoor Singh
 Arrey Iâ€™m going to slee in a bit,Pulak
 Abhi to time hai,Pulak
 Hmmmmm ðŸ˜‚,Ishnoor Singh
 <Media omitted>,Ishnoor Singh
 It's true,Ishnoor Singh
 Did you just try it,Pulak
 Define Just,Ishnoor Singh
 In the time since Iâ€™ve been gone,Pulak
 Yeah...,Ishnoor Singh
 Not exactly,Ishnoor Singh
 I didn't my break it,Ishnoor Singh
 But I tested the theory very well,Ishnoor Singh
 What the fuck did you do,Pulak
 You tell me ðŸ˜‚ðŸ˜‚ðŸ˜‚,Ishnoor Singh
 Abbey I just Streched it to the point being which I felt like it would break,Ishnoor Singh
 ðŸ¤¦ðŸ»â€â™‚ðŸ¤¦ðŸ»â€â™‚ðŸ¤¦ðŸ»â€â™‚,Pulak
 It was quite intriguing really,Ishnoor Singh
 ðŸ˜‚,Ishnoor Singh
 I donâ€™t even know where to start,Pulak
 I need to give your roommate and ra a heads up,Pulak
 Meh,Ishnoor Singh
 What meh,Pulak
 When you get that info Iâ€™m demanding it from you,Pulak
 <Media omitted>,Ishnoor Singh
 Did somebody just go ooooh in the background ðŸ˜‚,Pulak
 Yeah I guess,Ishnoor Singh
 Lol,Ishnoor Singh
 Must be awesome,Ishnoor Singh
 Lol,Pulak
 What even,Pulak
 College,Ishnoor Singh
 You nitwit,Ishnoor Singh
 Yes it is,Pulak
 Lol,Ishnoor Singh
 Tell me about it when you're done,Ishnoor Singh
 Send your schedule look,Ishnoor Singh
 *lol,Ishnoor Singh
 Lol it was fun but exhausting,Pulak
 ðŸ˜,Ishnoor Singh
 Shut up,Pulak
 <Media omitted>,Pulak
 Hmmmmm,Ishnoor Singh
 Already cheating? ðŸ˜‚ðŸ˜‚,Ishnoor Singh
 Yes thatâ€™s exactly what Iâ€™m doing,Pulak
 Lol,Ishnoor Singh
 Sup,Ishnoor Singh
 Lunch lol,Pulak
 Then Class,Pulak
 Then chilling,Pulak
 Lol today's day two of classes?,Ishnoor Singh
 You tell,Pulak
 Haan,Pulak
 Nothing.,Ishnoor Singh
 That's all.,Ishnoor Singh
 What thatâ€™s all,Pulak
 lol,Ishnoor Singh
 i ran 11 km in the morning,Ishnoor Singh
 Niceeee,Pulak
 I do that much inthe whole day lmao,Pulak
 Just walking tho,Pulak
 lol,Ishnoor Singh
 the whole day was 13 miles,Ishnoor Singh
 i didnt convert that into km,Ishnoor Singh
 Thatâ€™s 21,Pulak
 lol,Ishnoor Singh
 Hi Pulak,Ishnoor Singh
 You look so cute in your DP,Ishnoor Singh
 ?,Pulak
 Thanks you too,Pulak
 Lol,Ishnoor Singh
 That was Nayamat,Ishnoor Singh
